type,name,size,i,time,verification
search,binary,256,0,0.000003,1
search,binary,256,1,0.000003,1
search,binary,256,2,0.000002,1
search,binary,256,3,0.000004,1
search,binary,256,4,0.000003,1
search,binary,256,5,0.000003,1
search,binary,256,6,0.000003,1
search,binary,256,7,0.000002,1
search,binary,256,8,0.000003,1
search,binary,256,9,0.000003,1
search,binary,512,0,0.000004,1
search,binary,512,1,0.000003,1
search,binary,512,2,0.000004,1
search,binary,512,3,0.000003,1
search,binary,512,4,0.000003,1
search,binary,512,5,0.000003,1
search,binary,512,6,0.000003,1
search,binary,512,7,0.000003,1
search,binary,512,8,0.000004,1
search,binary,512,9,0.000003,1
search,binary,1024,0,0.000004,1
search,binary,1024,1,0.000004,1
search,binary,1024,2,0.000004,1
search,binary,1024,3,0.000003,1
search,binary,1024,4,0.000004,1
search,binary,1024,5,0.000004,1
search,binary,1024,6,0.000003,1
search,binary,1024,7,0.000004,1
search,binary,1024,8,0.000004,1
search,binary,1024,9,0.000004,1
search,binary,2048,0,0.000007,1
search,binary,2048,1,0.000005,1
search,binary,2048,2,0.000004,1
search,binary,2048,3,0.000004,1
search,binary,2048,4,0.000005,1
search,binary,2048,5,0.000004,1
search,binary,2048,6,0.000007,1
search,binary,2048,7,0.000006,1
search,binary,2048,8,0.000004,1
search,binary,2048,9,0.000002,1
search,binary,4096,0,0.000007,1
search,binary,4096,1,0.000004,1
search,binary,4096,2,0.000004,1
search,binary,4096,3,0.000005,1
search,binary,4096,4,0.000004,1
search,binary,4096,5,0.000004,1
search,binary,4096,6,0.000004,1
search,binary,4096,7,0.000003,1
search,binary,4096,8,0.000004,1
search,binary,4096,9,0.000004,1
search,binary,8192,0,0.000008,1
search,binary,8192,1,0.000006,1
search,binary,8192,2,0.000007,1
search,binary,8192,3,0.000006,1
search,binary,8192,4,0.000004,1
search,binary,8192,5,0.000005,1
search,binary,8192,6,0.000004,1
search,binary,8192,7,0.000004,1
search,binary,8192,8,0.000006,1
search,binary,8192,9,0.000005,1
search,binary,16384,0,0.000012,1
search,binary,16384,1,0.000015,1
search,binary,16384,2,0.000007,1
search,binary,16384,3,0.000008,1
search,binary,16384,4,0.000007,1
search,binary,16384,5,0.000007,1
search,binary,16384,6,0.000008,1
search,binary,16384,7,0.000007,1
search,binary,16384,8,0.000008,1
search,binary,16384,9,0.000008,1
search,binary,32768,0,0.000009,1
search,binary,32768,1,0.000004,1
search,binary,32768,2,0.000006,1
search,binary,32768,3,0.000005,1
search,binary,32768,4,0.000005,1
search,binary,32768,5,0.000005,1
search,binary,32768,6,0.000005,1
search,binary,32768,7,0.000006,1
search,binary,32768,8,0.000004,1
search,binary,32768,9,0.000005,1
sorting,native,1,0,0.000004,1
sorting,native,1,1,0.000002,1
sorting,native,1,2,0.000001,1
sorting,native,1,3,0.000001,1
sorting,native,1,4,0.000001,1
sorting,native,1,5,0.000001,1
sorting,native,1,6,0.000001,1
sorting,native,1,7,0.000001,1
sorting,native,1,8,0.000001,1
sorting,native,1,9,0.000001,1
sorting,native,1,10,0.000001,1
sorting,native,1,11,0.000001,1
sorting,native,2,0,0.000001,1
sorting,native,2,1,0.000001,1
sorting,native,2,2,0.000002,1
sorting,native,2,3,0.000002,1
sorting,native,2,4,0.000002,1
sorting,native,2,5,0.000001,1
sorting,native,2,6,0.000002,1
sorting,native,2,7,0.000001,1
sorting,native,2,8,0.000001,1
sorting,native,2,9,0.000001,1
sorting,native,2,10,0.000001,1
sorting,native,2,11,0.000001,1
sorting,native,4,0,0.000001,1
