type,name,size,i,time,verification
search,binary,512,7,0.000004,1
search,binary,512,8,0.000004,1
search,binary,512,9,0.000003,1
search,binary,1024,0,0.000005,1
search,binary,1024,1,0.000004,1
search,binary,1024,2,0.000004,1
search,binary,1024,3,0.000004,1
search,binary,1024,4,0.000004,1
search,binary,1024,5,0.000004,1
search,binary,1024,6,0.000004,1
search,binary,1024,7,0.000004,1
search,binary,1024,8,0.000004,1
search,binary,1024,9,0.000004,1
search,binary,2048,0,0.000005,1
search,binary,2048,1,0.000005,1
search,binary,2048,2,0.000004,1
search,binary,2048,3,0.000004,1
search,binary,2048,4,0.000004,1
search,binary,2048,5,0.000004,1
search,binary,2048,6,0.000004,1
search,binary,2048,7,0.000004,1
search,binary,2048,8,0.000003,1
search,binary,2048,9,0.000004,1
search,binary,4096,0,0.000005,1
search,binary,4096,1,0.000005,1
search,binary,4096,2,0.000005,1
search,binary,4096,3,0.000004,1
search,binary,4096,4,0.000004,1
search,binary,4096,5,0.000004,1
search,binary,4096,6,0.000005,1
search,binary,4096,7,0.000003,1
search,binary,4096,8,0.000005,1
search,binary,4096,9,0.000004,1
search,binary,8192,0,0.000006,1
search,binary,8192,1,0.000005,1
search,binary,8192,2,0.000006,1
search,binary,8192,3,0.000005,1
search,binary,8192,4,0.000005,1
search,binary,8192,5,0.000005,1
search,binary,8192,6,0.000004,1
search,binary,8192,7,0.000005,1
search,binary,8192,8,0.000003,1
search,binary,8192,9,0.000005,1
search,binary,16384,0,0.000007,1
search,binary,16384,1,0.000005,1
search,binary,16384,2,0.000005,1
search,binary,16384,3,0.000004,1
search,binary,16384,4,0.000005,1
search,binary,16384,5,0.000005,1
search,binary,16384,6,0.000005,1
search,binary,16384,7,0.000005,1
search,binary,16384,8,0.000004,1
search,binary,16384,9,0.000005,1
search,binary,32768,0,0.000009,1
search,binary,32768,1,0.000005,1
search,binary,32768,2,0.000005,1
search,binary,32768,3,0.000006,1
search,binary,32768,4,0.000006,1
search,binary,32768,5,0.000005,1
search,binary,32768,6,0.000005,1
search,binary,32768,7,0.000005,1
search,binary,32768,8,0.000005,1
search,binary,32768,9,0.000005,1
sorting,native,1,0,0.000004,1
sorting,native,1,1,0.000001,1
sorting,native,1,2,0.000001,1
sorting,native,1,3,0.000001,1
sorting,native,1,4,0.000002,1
sorting,native,1,5,0.000001,1
sorting,native,1,6,0.000001,1
sorting,native,1,7,0.000001,1
sorting,native,1,8,0.000001,1
sorting,native,1,9,0.000001,1
sorting,native,1,10,0.000009,1
sorting,native,1,11,0.000001,1
sorting,native,2,0,0.000001,1
sorting,native,2,1,0.000001,1
sorting,native,2,2,0.000001,1
sorting,native,2,3,0.000001,1
sorting,native,2,4,0.000001,1
sorting,native,2,5,0.000002,1
sorting,native,2,6,0.000001,1
sorting,native,2,7,0.000001,1
sorting,native,2,8,0.000001,1
sorting,native,2,9,0.000001,1
sorting,native,2,10,0.000001,1
sorting,native,2,11,0.000001,1
sorting,native,4,0,0.000002,1
sorting,native,4,1,0.000002,1
sorting,native,4,2,0.000001,1
sorting,native,4,3,0.000001,1
sorting,native,4,4,0.000001,1
sorting,native,4,5,0.000001,1
sorting,native,4,6,0.000001,1
sorting,native,4,7,0.000001,1
sorting,native,4,8,0.000002,1
sorting,native,4,9,0.000001,1
sorting,native,4,10,0.000001,1
sorting,native,4,11,0.000001,1
sorting,native,8,0,0.000002,1
sorting,native,8,1,0.000002,1
sorting,native,8,2,0.000001,1
sorting,native,8,3,0.000001,1
sorting,native,8,4,0.000002,1
sorting,native,8,5,0.000001,1
sorting,native,8,6,0.000001,1
sorting,native,8,7,0.000001,1
sorting,native,8,8,0.000002,1
sorting,native,8,9,0.000001,1
sorting,native,8,10,0.000001,1
sorting,native,8,11,0.000001,1
sorting,native,16,0,0.000002,1
sorting,native,16,1,0.000003,1
sorting,native,16,2,0.000002,1
sorting,native,16,3,0.000001,1
sorting,native,16,4,0.000002,1
sorting,native,16,5,0.000001,1
sorting,native,16,6,0.000002,1
sorting,native,16,7,0.000001,1
sorting,native,16,8,0.000001,1
sorting,native,16,9,0.000001,1
sorting,native,16,10,0.000001,1
sorting,native,16,11,0.000001,1
sorting,native,32,0,0.000005,1
sorting,native,32,1,0.000005,1
sorting,native,32,2,0.000005,1
sorting,native,32,3,0.000002,1
sorting,native,32,4,0.000002,1
sorting,native,32,5,0.000002,1
sorting,native,32,6,0.000002,1
sorting,native,32,7,0.000002,1
sorting,native,32,8,0.000001,1
sorting,native,32,9,0.000002,1
sorting,native,32,10,0.000002,1
sorting,native,32,11,0.000002,1
sorting,native,64,0,0.000012,1
sorting,native,64,1,0.000010,1
sorting,native,64,2,0.000010,1
sorting,native,64,3,0.000009,1
sorting,native,64,4,0.000008,1
sorting,native,64,5,0.000007,1
sorting,native,64,6,0.000002,1
sorting,native,64,7,0.000002,1
sorting,native,64,8,0.000001,1
sorting,native,64,9,0.000002,1
sorting,native,64,10,0.000002,1
sorting,native,64,11,0.000002,1
sorting,native,128,0,0.000024,1
sorting,native,128,1,0.000023,1
sorting,native,128,2,0.000023,1
sorting,native,128,3,0.000018,1
sorting,native,128,4,0.000017,1
sorting,native,128,5,0.000018,1
sorting,native,128,6,0.000003,1
sorting,native,128,7,0.000003,1
sorting,native,128,8,0.000003,1
sorting,native,128,9,0.000003,1
sorting,native,128,10,0.000003,1
sorting,native,128,11,0.000003,1
sorting,native,256,0,0.000052,1
sorting,native,256,1,0.000050,1
sorting,native,256,2,0.000051,1
sorting,native,256,3,0.000038,1
sorting,native,256,4,0.000037,1
sorting,native,256,5,0.000036,1
sorting,native,256,6,0.000004,1
sorting,native,256,7,0.000004,1
sorting,native,256,8,0.000004,1
sorting,native,256,9,0.000004,1
sorting,native,256,10,0.000004,1
sorting,native,256,11,0.000004,1
sorting,native,512,0,0.000119,1
sorting,native,512,1,0.000119,1
sorting,native,512,2,0.000116,1
sorting,native,512,3,0.000094,1
sorting,native,512,4,0.000091,1
sorting,native,512,5,0.000091,1
sorting,native,512,6,0.000049,1
sorting,native,512,7,0.000046,1
sorting,native,512,8,0.000043,1
sorting,native,512,9,0.000007,1
sorting,native,512,10,0.000007,1
sorting,native,512,11,0.000007,1
sorting,native,1024,0,0.000272,1
sorting,native,1024,1,0.000263,1
sorting,native,1024,2,0.000263,1
sorting,native,1024,3,0.000213,1
sorting,native,1024,4,0.000211,1
sorting,native,1024,5,0.000210,1
sorting,native,1024,6,0.000129,1
sorting,native,1024,7,0.000126,1
sorting,native,1024,8,0.000125,1
sorting,native,1024,9,0.000014,1
sorting,native,1024,10,0.000013,1
sorting,native,1024,11,0.000013,1
sorting,native,2048,0,0.000607,1
sorting,native,2048,1,0.000600,1
sorting,native,2048,2,0.000596,1
sorting,native,2048,3,0.000482,1
sorting,native,2048,4,0.000476,1
sorting,native,2048,5,0.000504,1
sorting,native,2048,6,0.000312,1
sorting,native,2048,7,0.000310,1
sorting,native,2048,8,0.000306,1
sorting,native,2048,9,0.000024,1
sorting,native,2048,10,0.000024,1
sorting,native,2048,11,0.000025,1
sorting,native,4096,0,0.001334,1
sorting,native,4096,1,0.001351,1
sorting,native,4096,2,0.001328,1
sorting,native,4096,3,0.001077,1
sorting,native,4096,4,0.001081,1
sorting,native,4096,5,0.001075,1
sorting,native,4096,6,0.000732,1
sorting,native,4096,7,0.000726,1
sorting,native,4096,8,0.000728,1
sorting,native,4096,9,0.000332,1
sorting,native,4096,10,0.000340,1
sorting,native,4096,11,0.000326,1
sorting,native,8192,0,0.003012,1
sorting,native,8192,1,0.002989,1
sorting,native,8192,2,0.003016,1
sorting,native,8192,3,0.002466,1
sorting,native,8192,4,0.002429,1
sorting,native,8192,5,0.002435,1
sorting,native,8192,6,0.001737,1
sorting,native,8192,7,0.001727,1
sorting,native,8192,8,0.001728,1
sorting,native,8192,9,0.000904,1
sorting,native,8192,10,0.000889,1
sorting,native,8192,11,0.000889,1
sorting,native,16384,0,0.006766,1
sorting,native,16384,1,0.006769,1
sorting,native,16384,2,0.006777,1
sorting,native,16384,3,0.005544,1
sorting,native,16384,4,0.005529,1
sorting,native,16384,5,0.005624,1
sorting,native,16384,6,0.004018,1
sorting,native,16384,7,0.003955,1
sorting,native,16384,8,0.003944,1
sorting,native,16384,9,0.002228,1
sorting,native,16384,10,0.002165,1
sorting,native,16384,11,0.002169,1
sorting,native,32768,0,0.015496,1
sorting,native,32768,1,0.015416,1
sorting,native,32768,2,0.015567,1
sorting,native,32768,3,0.012479,1
sorting,native,32768,4,0.012496,1
sorting,native,32768,5,0.012410,1
sorting,native,32768,6,0.009037,1
sorting,native,32768,7,0.008970,1
sorting,native,32768,8,0.009047,1
sorting,native,32768,9,0.005620,1
sorting,native,32768,10,0.005595,1
sorting,native,32768,11,0.005560,1
sorting,insertion,1,0,0.000010,1
sorting,insertion,1,1,0.000002,1
sorting,insertion,1,2,0.000002,1
sorting,insertion,1,3,0.000002,1
sorting,insertion,1,4,0.000001,1
sorting,insertion,1,5,0.000001,1
sorting,insertion,1,6,0.000001,1
sorting,insertion,1,7,0.000001,1
sorting,insertion,1,8,0.000002,1
sorting,insertion,1,9,0.000001,1
sorting,insertion,1,10,0.000002,1
sorting,insertion,1,11,0.000002,1
sorting,insertion,2,0,0.000003,1
sorting,insertion,2,1,0.000002,1
sorting,insertion,2,2,0.000002,1
sorting,insertion,2,3,0.000002,1
sorting,insertion,2,4,0.000002,1
